source,target,label,trafico_mbps,capacidad_mbps,rol,diagrams
CP-TECMEDICO-D3,TECMED-3D-A44,D3: lag44 54.63 Mbps,54.63,,principal,31
TECMED-1A-A41,TECMED-1A-A141,A41: lag110 21.7 Mbps,21.7,,principal,31
CP-POSGRADO-D2,POS-0A-A31,D2: lag31 1.87 Mbps,1.87,,principal,32
CP-POSGRADO-D2,POS-1B-A32,D2: lag32 7.82 Mbps,7.82,,principal,32
CP-POSGRADO-D2,POS-2C-A33,D2: lag33 13.57 Mbps,13.57,,principal,32
CP-POSGRADO-D2,POSLAB-0D-A34,D2: lag34 16.6 Mbps,16.6,,principal,32
CP-POSGRADO-D2,POS-0A-A131,D2: lag35 9.31 Mbps,9.31,,principal,32
POS-2C-A33,POS-2C-A133,A33: lag110 8.38 Mbps,8.38,,principal,32
CP-ENFERMERIA-D1,ENF-2B-A22,D1: lag12 48.66 Mbps,48.66,,principal,33
CP-ENFERMERIA-D1,ENF-3A-A21,D1: lag11 21.09 Mbps,21.09,,principal,33
ENF-2B-A22,ENF-2B-A122,A22: 1/1/52 51.99 Mbps,51.99,,principal,33
INTERNET-MPLS,ROUTER-CAMPUS-HUAYNA-CAPAC,Trafico MPLS 10 Gbps,,10000,wan,34
INTERNET-MPLS,ROUTER-CAMPUS-YANUNCAY,Trafico MPLS 10 Gbps,,10000,wan,34
ROUTER-CAMPUS-HUAYNA-CAPAC,ROUTER-CAMPUS-PARAISO,Trafico MPLS 10 Gbps,,10000,wan,34
INTERNET-MPLS,PE1-BALZAY,Trafico MPLS 10 Gbps,,10000,wan,34
INTERNET-MPLS,PE2-BALZAY,Trafico MPLS 10 Gbps,,10000,wan,34
INTERNET-MPLS,PE1-CENTRAL,Trafico MPLS 10 Gbps,,10000,wan,34
INTERNET-MPLS,PE2-CENTRAL,Trafico MPLS 10 Gbps,,10000,wan,34
ROUTER-CAMPUS-YANUNCAY,PE1-CENTRAL,Trafico MPLS 10 Gbps,,10000,wan,34
ROUTER-CAMPUS-PARAISO,PE2-CENTRAL,Trafico MPLS 10 Gbps,,10000,wan,34
PE1-BALZAY,PE2-CENTRAL,Fibra oscura MPLS 10 Gbps,,10000,wan,34
PE2-BALZAY,PE1-CENTRAL,Fibra oscura MPLS 10 Gbps,,10000,wan,34
PE1-BALZAY,PE2-BALZAY,,,,wan,34
PE1-CENTRAL,PE2-CENTRAL,,,,wan,34
PE1-BALZAY,FORTIGATE-1800F-BALZAY,Trafico hacia internet L3 10 Gbps,,10000,wan,34
PE2-BALZAY,FORTIGATE-1800F-BALZAY,Trafico hacia internet L3 10 Gbps,,10000,wan,34
PE1-CENTRAL,FORTIGATE-1800F-CENTRAL,Trafico hacia internet L3 10 Gbps,,10000,wan,34
PE2-CENTRAL,FORTIGATE-1800F-CENTRAL,Trafico hacia internet L3 10 Gbps,,10000,wan,34
FORTIGATE-1800F-BALZAY,DT-0A-C12,LAG 2x10G red LAN L3 10 Gbps,,10000,wan,34
FORTIGATE-1800F-BALZAY,DT-0A-C13,LAG 2x10G red LAN L3 10 Gbps,,10000,wan,34
FORTIGATE-1800F-CENTRAL,DATCC-2A-C2,LAG 2x10G red LAN L3 10 Gbps,,10000,wan,34
FORTIGATE-1800F-CENTRAL,DATCC-2A-C3,LAG 2x10G red LAN L3 10 Gbps,,10000,wan,34
PE2-BALZAY,DT-0A-C13,MPLS L2 2x10 Gbps Trafico Data Center L2,,20000,wan,34
PE2-CENTRAL,DATCC-2A-C3,MPLS L2 2x10 Gbps Trafico Data Center L2,,20000,wan,34
FORTIGATE-1800F-BALZAY,FORTIGATE-1800F-CENTRAL,HA de Firewalls Perimetrales L2 1 Gbps,,1000,wan,34
DT-0A-C12,ROUTER-L2TP-BALZAY,L2TP 1 Gbps backup,,1000,wan,34
DT-0A-C13,ROUTER-L2TP-BALZAY,L2TP 1 Gbps backup,,1000,wan,34
ROUTER-L2TP-BALZAY,ROUTER-CAMPUS-MUSEO,L2TP 1 Gbps backup,,1000,wan,34
ROUTER-L2TP-BALZAY,ROUTER-CAMPUS-CENTRO-HISTORICO,L2TP 1 Gbps backup,,1000,wan,34
ROUTER-CAMPUS-MUSEO,SW-ARUBA-MUSEO,,,,wan,34
SW-ARUBA-MUSEO,DATCC-2A-C2,Fibra oscura red LAN L3 10 Gbps,,10000,wan,34
ROUTER-CAMPUS-CENTRO-HISTORICO,SW-ARUBA-CENTRO-HISTORICO,,,,wan,34
SW-ARUBA-CENTRO-HISTORICO,DATCC-2A-C3,Fibra oscura red LAN L3 10 Gbps,,10000,wan,34
