t,S,I,R,caso,beta,tipo
8,87.06666666666666,63.46666666666667,26.466666666666665,sobre_critico,0.3722,media
9,78.43333333333334,65.7,32.86666666666667,sobre_critico,0.3722,media
10,70.23333333333333,66.96666666666667,39.8,sobre_critico,0.3722,media
11,64.13333333333334,66.2,46.666666666666664,sobre_critico,0.3722,media
12,57.8,65.43333333333334,53.766666666666666,sobre_critico,0.3722,media
13,53.233333333333334,63.733333333333334,60.03333333333333,sobre_critico,0.3722,media
14,50.13333333333333,60.9,65.96666666666667,sobre_critico,0.3722,media
15,47.13333333333333,58.233333333333334,71.63333333333334,sobre_critico,0.3722,media
16,44.63333333333333,54.93333333333333,77.43333333333334,sobre_critico,0.3722,media
17,42.46666666666667,51.7,82.83333333333333,sobre_critico,0.3722,media
18,40.833333333333336,47.63333333333333,88.53333333333333,sobre_critico,0.3722,media
19,39.9,43.833333333333336,93.26666666666667,sobre_critico,0.3722,media
20,38.5,40.53333333333333,97.96666666666667,sobre_critico,0.3722,media
21,37.766666666666666,37.9,101.33333333333333,sobre_critico,0.3722,media
22,37.266666666666666,35.1,104.63333333333334,sobre_critico,0.3722,media
23,36.8,31.2,109.0,sobre_critico,0.3722,media
24,36.666666666666664,28.2,112.13333333333334,sobre_critico,0.3722,media
25,36.43333333333333,25.166666666666668,115.4,sobre_critico,0.3722,media
26,36.36666666666667,22.633333333333333,118.0,sobre_critico,0.3722,media
27,36.3,20.633333333333333,120.06666666666666,sobre_critico,0.3722,media
28,36.3,18.4,122.3,sobre_critico,0.3722,media
29,36.266666666666666,16.8,123.93333333333334,sobre_critico,0.3722,media
30,36.233333333333334,15.0,125.76666666666667,sobre_critico,0.3722,media
31,36.233333333333334,13.2,127.56666666666666,sobre_critico,0.3722,media
32,36.2,11.933333333333334,128.86666666666667,sobre_critico,0.3722,media
33,36.2,10.366666666666667,130.43333333333334,sobre_critico,0.3722,media
34,36.2,9.4,131.4,sobre_critico,0.3722,media
35,36.2,8.433333333333334,132.36666666666667,sobre_critico,0.3722,media
36,36.2,7.666666666666667,133.13333333333333,sobre_critico,0.3722,media
37,36.2,6.7,134.1,sobre_critico,0.3722,media
38,36.2,6.1,134.7,sobre_critico,0.3722,media
39,36.2,5.6,135.2,sobre_critico,0.3722,media
40,36.2,4.933333333333334,135.86666666666667,sobre_critico,0.3722,media
41,36.2,4.466666666666667,136.33333333333334,sobre_critico,0.3722,media
42,36.2,4.133333333333334,136.66666666666666,sobre_critico,0.3722,media
43,36.2,3.7333333333333334,137.06666666666666,sobre_critico,0.3722,media
44,36.2,3.3,137.5,sobre_critico,0.3722,media
45,36.2,2.933333333333333,137.86666666666667,sobre_critico,0.3722,media
46,36.2,2.466666666666667,138.33333333333334,sobre_critico,0.3722,media
47,36.2,2.2,138.6,sobre_critico,0.3722,media
48,36.2,1.9333333333333333,138.86666666666667,sobre_critico,0.3722,media
49,36.2,1.7,139.1,sobre_critico,0.3722,media
50,36.2,1.5666666666666667,139.23333333333332,sobre_critico,0.3722,media
0,0.0,0.0,0.0,sobre_critico,0.3722,std
1,2.0572365498945966,2.1281186266016485,0.29999999999999993,sobre_critico,0.3722,std
2,4.3949465930265355,4.504442251822083,1.0225241100118645,sobre_critico,0.3722,std
3,6.761081438810083,6.564974401236373,1.451436070471816,sobre_critico,0.3722,std
4,7.939773296511683,7.482126851519041,1.8785337071473827,sobre_critico,0.3722,std
5,9.336963579713101,8.888506936238254,2.780087928265739,sobre_critico,0.3722,std
6,11.33941013555036,10.391289086965529,3.438507428134093,sobre_critico,0.3722,std
7,13.047307086990106,11.1638802493677,4.066120181860509,sobre_critico,0.3722,std
8,14.014119863750118,11.362902602572793,5.661173808397768,sobre_critico,0.3722,std
9,14.838426092038494,11.80155357004605,6.611774009715967,sobre_critico,0.3722,std
10,15.195796202312739,11.777049243715036,7.747687827130535,sobre_critico,0.3722,std
11,15.963987249083134,12.61057757070098,8.599741598185119,sobre_critico,0.3722,std
12,17.34435546991201,14.291450435682012,9.315518712819424,sobre_critico,0.3722,std
13,17.89540599024106,14.64680473307707,9.364768490939264,sobre_critico,0.3722,std
14,18.165412800765694,13.284953895290716,10.409877787733896,sobre_critico,0.3722,std
15,18.471118596939988,12.465106854290857,11.18774130714308,sobre_critico,0.3722,std
16,18.852910179126784,12.140657130302115,11.623778310954755,sobre_critico,0.3722,std
17,18.90984458482465,11.87476315553283,12.080516913149408,sobre_critico,0.3722,std
18,19.328878797166578,11.001464548969027,12.77167003784374,sobre_critico,0.3722,std
19,19.315537786973472,10.764396045399957,12.868393666482056,sobre_critico,0.3722,std
20,19.692215043852567,11.089734993327038,13.543715229663619,sobre_critico,0.3722,std
21,19.72085754276985,10.643777524920369,14.010313661331386,sobre_critico,0.3722,std
22,19.79551015311862,10.724893161861022,14.010670536733382,sobre_critico,0.3722,std
23,19.987329319679837,10.137060717979349,14.710540438746634,sobre_critico,0.3722,std
24,20.022209890241612,9.403545430669576,15.167362621394958,sobre_critico,0.3722,std
25,19.900893335615752,8.274794391537606,15.778888849768014,sobre_critico,0.3722,std
26,19.85863931782728,7.756645895975628,16.0312195418814,sobre_critico,0.3722,std
27,19.889947209583035,7.516574278811386,16.342038496534702,sobre_critico,0.3722,std
